QTD;ATIVO;DESCRICAO;VALOR
155;ABEV3;155 ACOES ABEV3 AMBEV S/A ON EJ;2852,5
150;ALPA4;150 ACOES ALPA4 ALPARGATAS PN N1;1200
50;BBAS3;50 ACOES BBAS3 BRASIL ON NM;1080
70;BRFS3;70 ACOES BRFS3 BRF SA ON NM;3405
149;BRML3;149 ACOES BRML3 BR MALLS PAR ON NM;1560
400;BVMF3;400 ACOES BVMF3 BMFBOVESPA ON EJ NM (200 BMFBOVESPA ON NM + 200 B3 S.A. - BR ON NM);8372
50;CESP6;50 ACOES CESP6 CESP PNB N1;817
36;CIEL3;36 ACOES CIEL3 CIELO ON NM;949,25
150;CYRE3;150 ACOES CYRE3 CYRELA REALT ON NM;1599,5
63;DTEX3;63 ACOES DTEX3 DURATEX ON NM;497,07
300;GGBR4;300 ACOES GGBR4 GERDAU PN N1;2159
220;ITSA4;220 ACOES ITSA4 ITAUSA PN EJ N1;1628
33;ITUB4;33 ACOES ITUB4 ITAUUNIBANCO PN N1;952,5
300;LAME3;300 ACOES LAME3 LOJAS AMERIC ON N1;3984
100;LAME4;100 ACOES LAME4 LOJAS AMERIC PN N1;1620
215;LREN3;215 ACOES LREN3 LOJAS RENNER ON EJ NM;5058
480;MGLU3;480 ACOES MGLU3 MAGAZ LUIZA ON EJ NM;4910
20;MULT3;20 ACOES MULT3 MULTIPLAN ON N2;1100,95
100;PETR4;100 ACOES PETR4 PETROBRAS PN;812
93;RENT3;93 ACOES RENT3 LOCALIZA ON NM;965,96
100;SUZB3;100 ACOES SUZB3 SUZANO PAPEL PNA N1;1102
193;VALE3;193 ACOES VALE3 VALE ON EJ NM;4064
20;VIVT4;20 ACOES VIVT4 TELEF BRASIL PN;856,8
100;ALPA3;100 ACOES ALPA3 ALPARGATAS ON N1;1406
200;AMAR3;200 ACOES AMAR3 LOJAS MARISA ON NM;1156
100;BBDC3;100 ACOES BBDC3 BRADESCO ON EJ N1;2978
200;CCRO3;200 ACOES CCRO3 CCR SA ON NM;3408
400;MRFG3;400 ACOES MRFG3 MAFRIG;2584
300;PETR3;300 ACOES PETR3 PETROBRAS ON;4113