DTLIQ;NOTA;CODINT;DTOPER;VLNOTA;CV;ESPECIFICACAO;ATIVO;QTD;PRECO;VALOR;DC
08/01/18;6090;0577950-4;04/01/18;-11475,02;C;PETROLEO BRA PN;petr4;300;16,49;4947;D
08/01/18;6090;0577950-5;03/01/18;-11476,02;C;AMBEV S.A. ON;Abev3;300;21,56;6468;D
26/01/18;53750;0577950-5;22/01/18;-9197,39;C;PETROLEO BRA PN ATZ;petr4;500;18,31;9155;D
30/01/18;62108;0577950-5;24/01/18;-6019,36;C;PETROLEO BRA ON;petr3;300;19,96;5988;D
06/02/18;2050;0577950-5;01/02/18;-5493,55;C;BRADESPAR S. ON N1;brap3;200;27,32;5464;D
07/02/18;6048;0577950-1;06/02/18;-5292,86;V;LOJAS AMERIC ON N1;lame3;300;12,82;3846;C
07/02/18;6048;0577950-2;05/02/18;-5293,86;C;GUARARAPES C ON;guar3;100;155,04;15504;D
07/02/18;6048;0577950-3;04/02/18;-5294,86;V;CIELO S.A. ON NM;ciel3;36;26,53;955,08;C
07/02/18;6048;0577950-4;03/02/18;-5295,86;V;CCR S.A. ON NM;ccro3;200;15,35;3070;C
07/02/18;6048;0577950-5;02/02/18;-5296,86;V;BRF S.A. ON NM;brfs3;70;35,41;2478,7;C
08/02/18;9768;0577950-1;09/02/18;-10138,06;C;VULCABRAS/AZ ON NM;vulc3;400;10,38;4152;D
08/02/18;9768;0577950-2;08/02/18;-10139,06;C;GOL LINHAS A PN N2;goll4;300;17,63;5289;D
08/02/18;9768;0577950-3;07/02/18;-10140,06;V;GERDAU S.A. PN N1;ggbr4;300;14,47;4341;C
08/02/18;9768;0577950-4;06/02/18;-10141,06;C;FIBRIA CELUL ON NM;fibr3;100;56,84;5684;D
08/02/18;9768;0577950-5;05/02/18;-10142,06;V;CESP - CIA E PNB N1;cesp6f;50;15,3;765;C
20/02/18;32324;0577950-5;15/02/18;2520,6;V;MARFRIG GLOB ON NM;mrfg3;400;6,35;2540;C
01/03/18;62380;0577950-5;26/02/18;-4706,81;C;FORJAS TAURU ON N2;fjta3;1500;3,12;4680;D
26/03/18;58757;0577950-5;21/03/18;-5553,73;C;VIA VAREJO S UNT N2;vvar11;200;27,62;5524;D
22/05/18;45017;0577950-4;18/05/18;656,62;C;PETROBRAS PN N2;petr4;400;27,18;10872;D
22/05/18;45017;0577950-5;17/05/18;655,62;V;GUARARAPES ON;guar3;100;116,27;11627;C
26/06/18;56674;0577950-3;23/06/18;-919,34;V;VIAVAREJO UNT N2;Vvar11;100;19,61;1961;C
26/06/18;56674;0577950-4;22/06/18;-920,34;V;VIAVAREJO UNT N2;Vvar11;100;19,61;1961;C
26/06/18;56674;0577950-5;21/06/18;-921,34;C;VALE ON NM;vale3;100;47,92;4792;D
18/07/18;27263;0577950-4;14/07/18;-1909,43;C;ITAUUNIBANCO PN N1;itub4;100;44,37;4437;D
18/07/18;27263;0577950-5;13/07/18;-1910,43;V;BRADESCO ON EJ N1;brap3;100;25,72;2572;C
19/07/18;30257;0577950-4;17/07/18;1800,44;C;ITAUUNIBANCO PN N1;itub4;75;44;3300;D
19/07/18;30257;0577950-5;16/07/18;1799,44;V;BRADESPAR ON N1;brap3;200;25,75;5150;C
10/10/18;20553;0577950-5;05/10/18;-5652,09;C;ELETROBRAS ON N1;elet3;300;18,74;5622;D
11/10/18;26331;0577950-3;10/10/18;-15495,34;C;SANTOS BRP ON NM;stbp3;1800;2,87;5166;D
11/10/18;26331;0577950-4;09/10/18;-15496,34;C;ITAUUNIBANCO PN ED N1;itub4;100;50,3;5030;D
11/10/18;26331;0577950-5;08/10/18;-15497,34;C;CYRELA REALT ON NM;cyre3;400;13,04;5216;D
15/10/18;33390;0577950-5;09/10/18;-6558,24;C;ELETROBRAS ON N1;elet3;300;21,75;6525;D
18/10/18;47206;0577950-3;17/10/18;1045,29;C;GERDAU PN N1;ggbr4;300;15,96;4788;D
18/10/18;47206;0577950-4;16/10/18;1044,29;V;ELETROBRAS ON N1;elet3;600;20,14;12084;C
18/10/18;47206;0577950-5;15/10/18;1043,29;C;BRF SA ON NM;brfs3;300;20,47;6141;D
01/11/18;95551;05779500;03/11/18;2208,24;C;SANTOS BRP ON NM;stbp3;3800;3,49;13262;D
01/11/18;95551;0577950-1;02/11/18;2207,24;V;FORJA TAURUS ON N2;fjta3;1500;9;13500;C
08/11/18;7898;0577950-2;08/11/18;-27208,13;C;FORJA TAURUS ON N2;fjta3;1900;6,99;13281;D
08/11/18;7898;0577950-3;07/11/18;-27209,13;C;EMBRAER ON NM;embr3;200;21,71;4342;D
08/11/18;7898;0577950-4;06/11/18;-27210,13;C;ENGIE BRASIL ON NM;egie3;100;40,22;4022;D
08/11/18;7898;0577950-5;05/11/18;-27211,13;C;COPEL ON N1;Cple3;200;27,15;5430;D
12/11/18;18462;0577950-2;10/11/18;72288,55;V;MAGAZ LUIZA ON NM;mglu3;50;151,97;7598,5;C
12/11/18;18462;0577950-3;09/11/18;72287,55;V;MAGAZ LUIZA ON NM;mglu3;30;151,97;4559,1;C
12/11/18;18462;0577950-4;08/11/18;72286,55;V;MAGAZ LUIZA ON NM;mglu3;100;151,01;15101;C
12/11/18;18462;0577950-5;07/11/18;72285,55;V;MAGAZ LUIZA ON NM;mglu3;300;151;45300;C
13/11/18;23511;05779501;14/11/18;-50611,61;C;EMBRAER ON NM;embr3;400;21,41;8564;D
13/11/18;23511;05779500;13/11/18;-50612,61;C;ENGIE BRASIL ON NM;egie3;100;41,13;4113;D
13/11/18;23511;0577950-1;12/11/18;-50613,61;C;ENGIE BRASIL ON NM;egie3;100;41,13;4113;D
13/11/18;23511;0577950-2;11/11/18;-50614,61;C;COPEL ON N1;cple3;400;27;10800;D
13/11/18;23511;0577950-3;10/11/18;-50615,61;C;BRF SA ON NM;Brfs3;400;21,88;8752;D
13/11/18;23511;0577950-4;09/11/18;-50616,61;C;LOJAS MARISA ON NM;amar3;400;6,32;2528;D
13/11/18;23511;0577950-5;08/11/18;-50617,61;C;AMBEV S/A ON;Abev3;400;16;6400;D
14/11/18;28244;0577950-5;09/11/18;-6260,15;C;ALPARGATAS ON N1;Alpa3;400;15,57;6228;D
16/11/18;32822;0577950-3;14/11/18;-22892,69;C;LOCALIZA ON NM;RENT3;200;27,38;5476;D
16/11/18;32822;0577950-4;13/11/18;-22893,69;C;NATURA ON NM;NATU3;200;36,14;7228;D
16/11/18;32822;0577950-5;12/11/18;-22894,69;C;JHSF PART ON NM;JHSF3;5600;1,8;10080;D
19/11/18;37481;0577950-4;14/11/18;-948,48;C;MAGAZ LUIZA ON NM;mglu3;35;156,5;5477,5;D
19/11/18;37481;0577950-5;13/11/18;-949,48;V;GERDAU PN N1;ggbr4;300;15,28;4584;C
03/12/18;76696;0577950-2;01/12/18;-118,06;V;LOJAS AMERIC PN N1;lame4;100;18,58;1858;C
03/12/18;76696;0577950-3;30/11/18;-119,06;C;B2W DIGITAL ON NM;btow3;40;38,15;1526;D
03/12/18;76696;0577950-4;29/11/18;-120,06;C;B2W DIGITAL ON NM;btow3;100;38,18;3818;D
03/12/18;76696;0577950-5;28/11/18;-121,06;V;LOJAS MARISA ON NM;amar3;600;5,74;3444;C
11/12/18;13773;0577950-5;06/12/18;-2005,82;C;MAGAZ LUIZA ON NM;mglu3;12;165,7;1988,4;D
